,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
1010,Bordeaux,Marseille,3.58,3.08,2.25,0,0,2019-2020,0,0,1511.4991687185,1515.1201795389882,1643.2821577041111,1639.661146883623,-2,-2,4,-5,4,2.06,-131.78298898561115,29,42,-13,-1.1448025800014032,-0.9626163532034582,0.43256930216755407
1011,Metz,St Etienne,3.03,2.98,2.61,3,1,2019-2020,1,0,1454.751657356642,1467.619826041841,1557.2779304805886,1544.4097617953896,1,2,-3,2,-5,-0.3179999999999996,-102.52627312394657,23,28,-5,-0.25383262253271366,1.5378419290528047,-1.282246850017054
1012,Nice,Lyon,3.82,3.68,1.94,2,1,2019-2020,1,0,1550.105291402429,1561.8367557044664,1610.8747384780156,1599.1432741759781,-1,2,-1,-1,0,0.9160000000000008,-60.76944707558664,29,32,-3,-0.22764735046985254,-0.006319887010724058,-0.2851662173143489
1013,Amiens,Toulouse,2.05,3.28,3.93,0,0,2019-2020,0,0,1447.181441708376,1445.5971974338943,1391.6716074686442,1393.255851743126,0,2,-2,1,-6,4.414,55.509834239731845,18,12,6,0.5531108541624946,0.4481700107586011,-1.3518637741074746
1014,Angers,Reims,2.0,3.07,4.54,1,4,2019-2020,0,1,1532.3890270865338,1522.3730657898645,1531.8344743702066,1541.850435666876,0,1,-1,1,-1,0.6899999999999995,0.55455271632718,30,29,1,0.13168331409788697,0.34546805506189543,-0.2019416305671384
1015,Dijon,Brest,2.06,3.48,3.62,3,0,2019-2020,1,0,1464.2565575691735,1474.7608796331097,1481.7933785844896,1471.2890565205535,-1,1,0,-2,-2,-0.37399999999999967,-17.536821015316036,21,28,-7,-0.5281405210467185,0.19771044848381225,-0.8857767655849627
1016,Nimes,Monaco,4.12,4.01,1.81,3,1,2019-2020,1,0,1459.6354109940808,1471.985042235625,1542.8240592146585,1530.4744279731142,0,-2,2,-6,-4,-0.5719999999999992,-83.18864822057776,15,29,-14,-1.1104835466638994,-0.05999943647437337,-1.7736809459860536
1017,Strasbourg,Lille,2.67,2.97,2.97,1,2,2019-2020,0,1,1522.0522058747245,1513.7239043746863,1580.683254434863,1589.0115559349013,2,0,-2,6,-4,0.25000000000000044,-58.63104856013865,30,31,-1,0.10326804982642737,2.0763899792899605,-0.3855436384607649
1018,Paris SG,Montpellier,1.12,9.24,21.97,5,0,2019-2020,1,0,1757.8103051749886,1763.0062537826075,1575.9240102931958,1570.728061685577,1,1,-2,7,-2,-2.1319999999999997,181.88629488179276,52,33,19,1.6595325324945476,0.7621368610425507,0.4579667416712107
1019,Rennes,Nantes,1.92,3.28,4.55,3,2,2019-2020,1,0,1586.0264386415502,1594.490114384827,1532.2230634598145,1523.7593877165377,0,1,-1,-1,-1,0.734,53.803375181735646,37,32,5,0.4130498525226607,-0.3615726453492585,-0.3825388255781606
1020,Lille,Paris SG,6.25,4.70,1.48,0,2,2019-2020,0,1,1586.2381658708375,1580.683254434863,1752.2553937390142,1757.8103051749886,-1,-1,2,-13,1,1.154,-166.01722786817663,31,49,-18,-1.5951295594167059,-1.9169070357290443,-1.478571266865481
1021,Nantes,Bordeaux,1.99,3.21,4.32,0,1,2019-2020,0,1,1543.4600294210563,1532.2230634598145,1500.2622027572581,1511.4991687185,2,0,-2,-3,-3,2.1599999999999993,43.197826663798196,32,26,6,0.4925858962965483,-0.5066012755572978,-1.0990636822970914
1022,Lyon,Toulouse,1.23,6.45,12.23,3,0,2019-2020,1,0,1606.2768207162035,1610.8747384780156,1396.2695252304563,1391.6716074686442,2,1,-3,2,-11,-1.738,210.00729548574714,29,12,17,1.5359932152316296,0.7443757315947526,-2.3868740595308533
1023,Brest,Amiens,2.02,3.56,3.65,2,1,2019-2020,1,0,1472.2393183352729,1481.7933785844896,1456.7355019575928,1447.181441708376,2,-1,-1,6,-4,-5.688000000000001,15.503816377680096,25,18,7,0.7598006288134387,1.622813202564522,-0.27238018012720416
1024,Monaco,Strasbourg,1.6,4.01,5.8,1,3,2019-2020,0,1,1554.062466063616,1542.8240592146585,1510.813799025767,1522.0522058747245,-1,2,-1,5,-1,2.6919999999999993,43.248667037849145,29,27,2,0.24707480320803538,1.0405243603644188,0.3015008760084151
1025,Montpellier,Dijon,1.64,3.74,5.82,2,1,2019-2020,1,0,1568.6486594741034,1575.9240102931958,1471.531908388266,1464.2565575691735,1,-2,1,4,2,-0.0259999999999998,97.11675108583745,30,21,9,0.7675529899677095,0.18905232046149878,1.1755041885462738
